formula,transition temperature
Nb3Sn0.2Al0.8,14.6
Hg5Tl2,3.86
Re0.71V0.29,8.4
Ca1B1.25Pd3,1.0
Hg0.9Re0.1Ba2Cu1O4.41,94.5
Bi1In5,4.1
La1.5Ba1Ca0.5Cu3O6.981,50.0
Na2Rb0.5Cs0.5C60,8.2
Bi1.4Pb0.6Sr1.4Ca1Nd0.6Cu2O8.22,25.0
Pd0.05Ti0.95,4.64
Eu0.6Pr0.4Ba1.6Sr0.4Cu3O7,29.0
La0.81Sm0.06Sr0.13Fe1As1O1,18.5
Pb1Mo6S4Se4,3.2
Ba0.812K0.188Fe2As2,13.0
Ce1Bi3.3Pb0.7Te6,2.9
Au0.875Sn0.125,0.33
La1.887Ca0.1125Cu1O4,20.1
Ba1.34Eu2Ce0.66Cu3O8.96,15.0
Y0.7Ca0.3Ba2Cu2.7Co0.3O6.78,59.0
Fe1.7Co0.3As2Sr4Mg1Ti1O6,16.0
La0.9647Ce0.0333Sn3,3.03
Sc0.3Y0.7Ir3.6Rh0.4B4,3.09
Fe1Se0.7S0.3,5.94
La0.8Y0.2Fe0.995Mn0.005As1F0.11O0.89,26.15
Bi1.5La4Sb1.5,0.158
Ba7.61Si46,8.2
Ga0.255V0.745,13.9
Mo6Se7.6,6.28
Sr0.84Nd0.16Cu1O2.01,40.0
Nb1C0.9N0.1,16.97
Cu1.3K0.2Co1.5S4,4.4
Sm1.295Gd0.555Ce0.15Cu1O4,8.5
La1Ba1.5Sr0.5Cu3O6.948,57.1
Nd1Ba2Cu3S1O5,56.0
La1.913Sr0.087Cu1O4,25.0
La1.3Yb0.6Ba1.3Ca1.2Cu5O11.74,73.0
Sm1.45Gd0.4Ce0.15Cu1O3.97,19.2
La1.5Gd0.5Ba2Ca1Cu5O11.892,79.0
Mg1B1.87C0.13,28.0
Mg0.7Al0.15Li0.15B2,28.55
Nd0.8Ca0.2Ba1Sr1Cu3O6.78,77.0
Ba0.48K0.52Bi1O2.9,21.1
Y1Ba2Cu2.85Co0.15O6.92,71.0
Ba0.13O3W1,1.9
Co28U72,0.6
Tm1Ni1.92Co0.16B2C1,4.4
Y1Ba2Cu2.85Co0.15O7.03,65.0
Nb13.75Ta41.25Rh45,3.56
Y0.5Ca0.5Ba1.5La0.5Cu3O6.96,82.5
Pr1Th3.4Ru0.6B4,2.3
V2.52Mo0.48Si1,5.1
Y2Br1Cl1C2,3.85
Nb0.6Ru0.4Sr2Eu1.5Ce0.5Cu2O10,37.3
Y2I0.75Br1.25C2,7.0
Ca1La1Ba1Cu2.88Zn0.12O7,14.0
Ir0.725Os0.175Rh0.1,0.16
C0.8N0.2Sr2Cu1O5.35,31.0
Mg1C1Ni2.8Fe0.2,8.0
Ca1.75Na0.25Cu1Cl2O2,26.5
Sb0.25Ti0.75,6.26
Cu1.5Mo4.5S6,10.9
Y0.65Pr0.35Ba2Cu3O6.6,21.5
Ag2In1,2.11
Bi0.15Ge0.15Nb3Sn0.7,17.75
Tl1Sr2Ca1Cu2O6.58,43.0
Y1Ba2Cu2.8Zn0.2O6.85,30.69
La75Au15Cu10,3.795
Rh0.04Ru0.96,0.38
Hg1Ba2Ca2Cu3O8.35,134.0
Tl1Sr2Ba2Cu2C2.4N0.6O7,49.0
La0.999Gd0.001Al2,2.78
Nb96.5O3.5,6.13
Y1Ba2Cu2.8Fe0.2O6.8,43.9
Ba8Si46,8.1425
Y0.9Ca0.1Ba2Cu2.75Co0.25O7.03,76.9
La0.9974Tb0.0026,5.28
Y1Ba2Cu3.8Co0.2O8,50.0
Y1Ba2Cu2.9Sn0.1O7.28,90.0
Mg1C0.69Ni3,1.8
Nb3Os2,1.78
Ca1.8K0.2Cu1Cl2O2,24.0
Sm1.85Ce0.15Cu1O3.97,21.8
Ce1Ni2B2C1,0.05
Y1Ba2Cu2.75Co0.25O7.06,66.2
Bi0.2Pb0.4La1.2Sr1.3Cu1.9O5.78,75.0
Lu0.9Er0.1Ru1B2,8.77
Ca3Rh8B2,4.0
La0.6Hf0.4Bi1S2O1,1.74
Y1Ba1.76Sr0.24Cu4O8,76.0
Bi1.6Pb0.4Sr1.6Ca1Nd0.4Cu2O8.17,79.0
Y0.55Pr0.45Ba2Cu3O6.65,30.7
Cs0.96Bi4Te6,4.4
Y1Ba1.5La0.5Cu3O7.17,55.55
Nb2.775Mo0.225Al1,13.8
Y1Sr2Cu2.65Ti0.35O6.8,21.0
La1Pt1.97Ge2.03,0.83
Y1Ba1.9La0.1Cu3O6.8,57.9
Y1Ba2.01Cu2.806Cr0.194O7.3,62.0
Hf0.76Nb0.25,4.2
Lu2Fe3Si5,5.492222222
Cu0.81Ga0.19,0.048
Na2Rb0.25Cs0.75C60,9.4
Hg1Ba2Ca1Cu2O6.27,110.0
Pr1.85Ce0.15Cu0.993Ni0.007O4.065,7.02
La1.75Ca1.25Cu2O5.99,47.7
Ga25V75,15.3
Hg0.016In0.984,3.342
Ni0.007Ru0.993,0.44
Cr1Ru2,2.0
Tl1Sr2Ca1Cu2O6.74,43.0
Ru1Sr2Gd1.4Ce0.6Cu2O9.54,34.0
Fe1Se0.93,7.0
Y0.95Ca0.05Ba2Cu2.95Co0.05O6.75,64.0
Ba1Fe1.125Ru0.875As2,22.5
Au0.9Ga0.1,0.264
In0.92Sn0.08,4.25
Tl0.6Rb0.4Fe1.67Se2,32.0
La0.7Sm0.3Bi1S2F0.5O0.5,3.11
Pr1.96Ce0.04Cu1O4,23.6
Au0.22Nb0.78,7.6
Pr0.85La1Ce0.15Cu1O3.95,19.0
Bi2Sr2Ca0.9Y0.1Cu2O8.23,87.5
La1.828Sr0.172Cu1O4,39.35
La2Cu0.955V0.045O4.056,40.0
Bi1.6Sr0.4Yb1Cu3O6.35,37.0
C1.35Si0.1Y0.9,11.3
Ir0.55Os0.15Rh0.3,0.095
O0.95Ti1,0.8
B1Re3,4.75
V2.7Cr0.3Si1,11.3
Rh2Y3,1.48
Ca0.78Ce0.22Fe2As2,36.2
Tl1Sr1.5Ho0.5Ca1Cu2O7,80.0
Ba8Ge42Co4,7.0
La0.8Na0.2Fe1As1F0.2O0.8,23.02
Pb1Mo6S8,12.45
Er1Rh1.6Ir2.4B4,2.11
Ba1.6Sr0.4Yb0.65Ca0.35Cu3O6.15,49.0
Pb0.7Eu0.3Mo6.35S8,12.3
Pr0.65Sr0.35Fe1As0.95P0.05O1,15.4
Y1Ba2Cu2.97Zn0.03O6.85,77.0
V3Si0.6Al0.4,10.1
Pd2Yb1Pb1,2.65
Y0.7Ca0.3Ba2Cu2.7Co0.3O6.84,70.0
Co1Ta2,0.82
Ba0.15La1.85Cu1O4,28.0
Lu0.9Pr0.1Ba1.7Sr0.3Cu3O6.95,79.0
Ni31Zr69,2.44
Ir0.5Te0.5,3.0
Ba0.47K0.53Bi0.979Pr0.021O3,4.5
Rb0.9Bi1.1O3,11.0
H0.59Nb0.72Pd0.28,3.12
La1Ru4P12,6.923333333
Sr1Fe1.68Zn0.12Co0.2As2,6.22
Mo16Ru64P20,3.43
Y1Ba2Cu2.5Ni0.5O7,52.3
Co0.015Ru0.985,0.32
Ba6Sr2Si46,7.2
Nb3As0.05Sn0.95,18.19
Pb0.5Sr1.75Nd0.25Eu1.5Ce0.5Cu2.5O9,32.0
Si0.25V0.75,16.83714286
Y0.8Pr0.2Ba2Cu3O6.965,70.0
Sr2Mg0.3Ti0.7Fe1As1O3,36.7
Cd0.02In0.98,3.2945
Bi2Sr4Cu2C1O11,30.0
Bi1.7Pb0.3Sr2Ca1Cu2O0.27,67.6
Er0.52Ca0.48Ba1.4Sr0.6Cu2.76Co0.24O6.77,54.0
Ga1Sr2Tm0.75Ca0.25Cu2O7,28.0
V0.6Zr0.4,8.3
Ho0.9La0.1Ni2B2C1,2.25
I4Sn1,1.96
N0.93Nb1,13.3
Fe1Se0.3Te0.7,14.33333333
Lu1Ni1B0.9C1.1,2.9
Rh0.106Ti0.894,4.28
Bi2Sr2Ca0.8Gd0.2Cu2O8.26,89.8
La1.14Nb1Se3.14,1.32
Y1Ba2Cu2.96Co0.04O7,91.5
La1Fe1As0.95Sb0.05F0.2O0.8,30.1
Bi2Sr2.08Ca0.92Cu2O8,95.3
Ca1Fe0.74Co0.26As1H1,8.95
Rh1Te2,0.755
Bi1.4Pb0.6Sr2Ca1.4Ga0.6Cu3O7,70.6
Hg0.8V0.2Ba2Ca2Cu3O8.3,123.5
Tc0.2W0.8,3.85
Ba0.74K0.26Fe2As2,32.0
Ba2Ca3Cu4F1.4O8.6,91.0
La1Fe1As0.15P0.85O1,11.67
Se3Ta1,2.1
Ca0.4Pr0.6Fe1As1F1,50.0
Ir1U1,0.14
Sr0.2Mo1S2,5.05
Ca1Si1.9,1.35
Y1Ba2Cu3F0.1O6.7,71.0
Nd0.9Ba1.7Ca0.4Cu3O6.801,72.0
Mo0.2Nb0.608Pd0.192,1.34
Pb1Mo6.35S8,12.0
Y1Pd2Si2,0.785
Nd0.85La1Th0.15Cu1O4,16.0
Rh0.02Zr0.98,2.4
Ca9.5Yb0.5Pt3Fe10As18,11.6
La1.7Pr0.3Ca0.6Ba2Cu4.6O10.8862,47.6
Tb1Os1.5Sn2.6,1.4
Th0.9988U0.0012,0.55
Re24Ti6,6.6
Eu1Ba1.93Cu2.92O7,83.2
Bi2Sr2Ca1Cu2I0.25O8.21,71.6
La1.86K0.14Cu1O3.97,33.0
H0.55La0.89Sr0.11Cu0.995Fe0.005O4,13.2
Y0.25Cd0.75Ba2Cu3O7,53.2
Al0.22La0.78,4.3
La0.72Ce0.28Ru2,1.278
Fe1Sr2Y1Cu2O7.68,53.0
Tl1Ba2Ca0.8Nd0.2Cu2O7,96.3
Nb1B0.2Rh3,6.4
La3Ca0.5Cd0.5Ba3Cu7O16.375,59.0
Nd1.85Ce0.15Cu1O3.97,20.0
Y1Ba1Sr1Cu3O6.899,80.2
Nb0.35Ti0.6Zr0.05,8.6
Pd0.4Ho1Te3,2.8
Y1Ba2Cu2.9Fe0.1O6.85,63.8
Mg1B1.84F0.16,16.0
Y1Ba2Cu2.97Zn0.03O6.97,79.1
Lu0.9Dy0.1Ru1B2,7.34
Ir0.88Pt0.12Te2,1.92
Rh0.17Zr0.83,9.6
Tl1Sr1.5Tm0.5Ca1Cu2O7,84.0
Nb0.47Ta0.53,6.2
Tl2Ba2Cu1O5.989,10.0
P1Rh1,1.22
Y0.95Pr0.05Ba2Cu3O6.85,85.5
Li2Pd3B0.9Al0.1,7.49
In1Nb3,4.9
Gd1.2Mo6Se8,5.6
Mg0.997Fe0.003B2,37.8
Pd2Zr1In1,3.1
V0.77Si0.21Al0.02,11.7
Nd1.85Ce0.15Cu0.96Mn0.04O4,21.0
Gd0.9Hf0.1Ba2Cu3O6.88,84.2
Bi2Ca2.5Sm0.5Cu2O8.33,22.0
Ir0.54Os0.1Rh0.36,0.038
Ca0.86Pr0.14Fe2As2,32.5
Mo0.15Nb0.68Pd0.17,1.22
Re0.05Ta0.95,2.77
Er0.88Ca0.12Ba2Cu2.28Co0.18O6.93,77.5
La2Cu1O4.11,43.5
Bi3Sn1,3.77
Nd1Ba2Cu3O6.78,63.0
Y1Ba2Cu2.8Fe0.2O6.85,57.7
Pb3Zr5,4.6
Hf0.8Ta0.2V2,9.54
Rh1Zr3,7.65
Ba4Na2Ge25,0.84
Hf0.2Zr0.8V2,8.85
Mn0.14Ti0.86,2.55
Gd0.95Mo0.05Ba2Cu3O6.948,82.4
Cr0.2V0.8,1.186666667
V66.6Zr33.3,9.64
Hg1Pb2,5.8
Hg1Ba2Ca2Cu3O8.29,135.0
Nb0.71Sn0.29,18.3
La1Sb2,0.8
Y1Ba2Cu2.94Ni0.06O6.64,43.1
Ca10Pt0.78Fe9.22As18,9.96
Ba0.694K0.306Fe1.826Co0.174As2,18.0
Ir0.44Rh0.5Se2,9.24
Y1Ba1.8Sc0.2Cu3O6.64,88.8
La1.75Sr0.25Cu0.94Fe0.06O4,30.5
Nd1.2Ba1.8Cu3O6.954,50.0
Ba8Si41Al5,6.0
Sm1Ba2Cu2.9Zn0.1O6.83,29.0
Mo0.9Zr0.1C1,11.5
Ba0.779Na0.221Fe2As2,8.0
V0.767Ga0.18Al0.053,11.5
La1.795Nd0.08Sr0.125Cu1O4,29.5
Er1Ba2Cu2.88Zn0.12O6.92,52.0
Ba1Ni2Ge0.8P1.2,1.38
Y1In1.5Pb1.5,1.0
Y1Ba2Cu2.95Co0.05O6.92,94.3
La1.782Sr0.218Cu1O4,25.0
P1Pd3,0.35
Nb2.34Zr0.66Sn1,17.7
Nd1Ba2Cu3O6.86,78.6
Pd2Sc1Sn1,2.1
Bi1.1Nb1S3.1,0.415
Rh0.3W0.7,7.3
Rh0.07Zr0.93,5.95
Mo6Se7.3S0.7,5.03
As2Mo1,0.205
Bi1.95Sr1.45Nd0.6Cu1O4,18.0
H0.51Nb0.8Pd0.2,3.4
Nd1.4Pr0.6Ba4Cu7O14.541,41.0
Sm0.8Pr0.2Ba2Cu3O6.75,23.4
Y1.68Lu0.32Fe3Si5,0.98
Tm1Ba2Cu3O6.65,92.5
La0.6Ca0.1Pr0.3Ba1.5Sr0.5Cu3O6.872,26.0
Ce0.2Nd0.8F0.7Bi1S2O0.7,4.29
Ce0.3Nd0.7F0.5Bi1S2O0.5,4.07
Ba4Sr2Nb10O30,0.98
La1Fe0.99975Mn0.00025As1F0.11O0.89,23.8
Ce1Co0.5Ru0.5In5,1.77
Ga1Sr2Tm0.7Ca0.3Cu2O7,40.0
La1.81Sr0.19Cu0.94Fe0.06O4,28.6
V1Ta2Sn1,3.7
Yb0.7Ca0.3Ba1.6Sr0.4Cu3O6.43,65.3
Y1Ba2Cu4Li0.031O8,72.0
Ir0.15Os0.85,0.54
Ce1Bi3.6Pb0.4Te6,3.0
Y2La0.15Ba3.85Cu6O13.99,93.2
La1.887Sr0.113Cu1O4,29.7
Sm4Fe2As2Te0.72F1.2O2.8,40.0
Mg0.978Al0.022B2,34.7
Pb1S3Ta1,3.11
Nd0.85Pr0.15Ba2Cu3O6.85,41.3
La3Ru2Sn13,1.58
Na1Fe0.995Co0.005As1,9.81
La0.92Lu0.08,3.72
Lu2Ir2.91Rh0.09Si5,3.8
Ce1Ru3Si2,1.25
Th1Pt3B1,0.75
Y0.85Pr0.15Ba2Cu3O6.65,52.9
Ge0.92Ga0.08,0.45
Sc1Tc2,10.9
Mg1C1Ni2.94Cu0.06,6.3
Fe1.03Se0.5Te0.5,14.3
Mg1C1.5Ni3,8.15
Lu2Ir3Si4.9Ge0.1,7.74
V2.79Ce0.21Ga1,7.5
La0.2Mo6.35Pb0.8S8,13.2
Si1Ta1,4.28
Bi1.95Sr1.85La0.2Cu1O4,27.0
Sm1Fe1As1H0.03O0.97,0.2
Nb3Sb1,1.1
Cu0.12Ta1S2,1.82
Th1Rh2Ge2,1.1
Mo0.95V0.05C1,13.9
La1.83Ba0.17Cu1O4,26.9
Sr1Fe1.85Pd0.15As2,8.7
Gd0.01Nb0.99,9.19
Y1Ba2Cu2.05Al0.95O6.7,63.0
Bi1.7Pb0.3Sr2Ca0.7Y0.3Cu2O8.26,73.0
Y1Ba2Cu3H0.27O6.91,91.1
U1Pd2Al2.55Ga0.45,0.76
La0.75Y0.25F0.5Bi1S2O0.5,3.1
Pd2Y0.9Ho0.1Sn1,4.06
Bi1.7Pb0.3Sr1.6La0.4Cu1O6.141,20.2
Bi1.7Pb0.3Sr2Ca0.7Y0.3Cu1.94Zn0.06O8,66.9
Mg1.4Al0.6Si1,6.0
Fe0.9Se0.25Te0.75,9.7
Lu1Pd2Sn1,2.91
Bi2Sr1.9Ca1.1Cu2O8.181,71.8
P3Sn4,1.24
Y1Ba2Cu2.9Fe0.1O6.72,33.0
Ce1Fe1As1F0.1O0.9,36.33333333
Th1Ir0.2Os1.8,2.93
Na0.35Co1H1.4O2,4.7
Li1Ti1O4,12.15
La1.5Ba1.4Ca0.1Cu3O6.964,35.0
Y0.9Tb0.1Ba2Cu4O8,78.0
B1Mo1.75Ta0.25,3.05
Nb0.36Ti0.64,9.05
Rb0.5Ti1N1Cl1,16.3
Bi3.925Co0.075S3O4,4.3775
Ba0.5K0.5Fe1.9Zn0.1As2,30.15
La1.78Sr0.22Cu0.95Ni0.05O4,2.05
Mo3S1Se3,3.4
Y1Re0.05Ba2Cu2.95O7.04,92.0
Ga1V1.95,5.3
Ba0.5K0.5Bi1O3,19.66428571
Cd0.9Mg0.1,0.138
Ce1Fe1As1F0.05O0.95,11.8
Zr2Co0.75Cu0.25,4.89
Sc0.6V0.4,6.84
Ru0.7Rh0.3P1,1.13
Y0.6La0.4Ba2Cu3O6.92,85.0
Al1Gd0.0065La3,2.79
Mo0.8W0.2C1,12.0
Ce1Fe1As1F0.12O0.88,43.5
K0.95Bi1.05O3,8.1
Cr0.56Re0.44,5.1
La1Ru2Os2P12,7.0
La1.67Sr0.33Cu1O4,37.0
Ir0.1Ti0.9,4.3
N0.62Pt0.38,4.21
Ru22Zr78,3.73
Y1Ba2Cu2.97Zn0.03O6.63,42.5
Tl2Ba2Ca1Cu2O7.984,91.0
U0.9Np0.1Co1Ga5,7.2
In0.913Pb0.087,4.2
Nb10V50Ti40,7.1
La1Bi1S0.8Se1.2F0.5O0.5,3.6
Cs1Bi4.1Te5.9,4.4
Os0.34W0.66,3.81
Ga1Nb4Se8,2.9
La1.85Sr0.15Cu0.995Ni0.005O4,34.50333333
Nd1Fe1As1O0.6,53.5
Pt0.43W0.57,2.09
Pr1.85Ce0.15Cu1O4.175,16.25
V2Hf0.9Ti0.1,9.19
Pr4Fe2As2Te0.88O4,25.05
Ge0.5Cu0.5Sr2Ca1.8Y0.2Cu3O9.3,77.0
Mg1C0.771B0.154Ni3,6.44
La1,5.343
Y1Ba1.9La0.1Cu3.95Zn0.05O8,33.3
Bi2Sr1.3Sm0.7Cu1O6.405,8.0
La0.96Nd0.04,1.705
La1.9Sr0.1Cu1O3.997,32.0
Tl1Sr2Ca0.4Gd0.6Cu2O7,60.0
Zr0.96V0.04B2,8.7
Er0.55Ca0.3Hf0.15Ba2Cu3O7.05,72.2
V50Ti49Ta1,4.51
Al13Os3.2Ru0.8,4.0
La0.006Si1V2.994,16.48
B6Nd1,3.0
Y1Ba2Cu3.92Ga0.08O8,74.5
Co1Ti2,3.44
La1.85Sr0.15Cu0.975Ga0.025O4,0.35
Nb0.75Mg0.25B2,4.5
Y1Ba1.9La0.1Cu3O6.73,92.85
Bi2Sr2Ca1Cu2O8.2135,70.0
La0.967Pr0.033Tl3,1.16
Ti0.99Nb2.01Sb1,2.84
Fe0.25Ni0.75U6,3.0
Bi1.6Pb0.4Sr6Cu3C2O16,54.0
Gd1Ba2Cu3O6.98,94.2
Mn0.2Fe0.8Se0.85,11.1
C0.96Nb1,9.8
In0.85Pb0.15,5.1
Er0.75Ca0.1Hf0.15Ba2Cu3O6.796,73.6
Bi2Sr2Ca0.9Ce0.1Cu2O8,75.455
Co0.15Ti0.85,3.8
Sr0.925Ba0.075Ti1O3,0.5
Ni20Zr80,3.47
B0.978C0.022Si1,1.35
Gd1.4Ce0.6Sr2Cu2Ti1O10,11.0
Hf1Ti1C1,1.38
N0.99V1,7.91
Mo0.38Re0.62,5.7
La0.05Th0.95,1.3
Al0.9Ge0.1,6.45
Er5Os4Si15,5.5
La1.74Nd0.125Sr0.135Cu1O4,21.0
Y1Ni1.34Pd0.66B2C1,10.4
Ba1Fe1.908Ni0.092As2,18.6
V50Ti45Ta5,4.55
Y0.95Sc0.05Ba2Cu4O8,79.0
Bi2Sr2Ca0.57Pr0.43Cu2O8,48.0
La2.9745Gd0.0255In1,6.92
Ce1Bi1S2F0.4O0.6,2.81
Lu1Ni2B2C1,15.88066667
Pb0.5Cu0.5Sr0.8La1.2Cu1O5.1,34.9
Ag0.9Ga0.1,0.0065
Co14.3U85.7,0.78
Tl0.5Pb0.5Sr2Ca1Cu2.98Co0.02O7,65.0
Pd22Zr78,2.88
Y1Ba2Cu3.96Zn0.06O8,50.1
Sr0.15Bi2Se3,3.055
Cu1Se2,2.22375
Y0.8La0.2B6,5.8
Th1.4Lu0.3C3,11.7
Pr1Fe0.9Co0.1As0.95P0.05O1,14.2
Ti0.013V0.987,12.8
Fe1Se0.91S0.09,10.1
Y1Ba2Cu2.94Ni0.06O6.6,40.1
Co0.015Mo99.985,0.59
Hg0.92Ba2.05Cu1.03O4.065,91.6
Ce0.85Yb0.15Co1In5,1.19
Sr1.5Ba0.5Y1Cu2.8Ga0.2O7,38.0
Mo0.2U0.8,2.113
Pb0.6Cu0.4Sr1.1La0.9Cu1O5.19,25.0
K0.28Mo1S2,6.2
Bi0.5Sn0.5,0.788
Lu0.85Er0.15Ru1B2,8.86
Ho0.85Ca0.15Ba2Cu4O8,87.0
Y1Ba1.96Sr0.04Cu3O6.98,91.8
Ir2Sr1,5.7
Sr1.6K0.4Cu1C1O5,23.0
Y1Ba2Cu2.84Fe0.16O6.959,53.0
K0.38W1O3,2.09
Y1Ru1B4,1.38
Ho1Ba2Cu3O6.96,91.8
Na1Fe0.972Co0.028As1,20.1
Y1Ba2Cu2.98Zr0.2O6.75,89.8
Ba1.7K0.3Pb0.95Bi0.05O4,11.0
Rh0.005Zr0.995,3.5
Ir0.4Re0.1Rh0.5,0.08
Nb99.976O0.024,9.23
Bi1.95Sr1.75Pr0.3Cu1O4,32.0
Mo0.1Nb0.765Pd0.135,1.53
Bi2Sr1.4Ca1.6Cu2O8.2,81.1
Gd1Sr2Ru0.95Cu2.05O8,26.05
Ba0.59K0.41Bi1O2.96,20.4
Eu1Ba1.5Pr0.3Sr0.2Cu3O6.81,28.0
Ga0.233V0.767,13.3
Re0.05Rh0.04Ti0.91,2.3
Y1Ba2Cu3H0.19O7,93.5
Ba1Fe1.9Ni0.1As2,20.15
Bi1.4Pb0.6Sr1.6La0.4Cu1O6.068,28.0
Sr3Rh8B6,3.4
Na1Fe0.9875Co0.0125As1,13.9
Bi2Rh3Se2,0.84
Pb0.5Cu0.5Sr1La1Cu1O5.15,28.0
Bi2Sr1.6Pr0.4Cu1O6.313,21.8
Tl1Sr1.5Dy0.5Ca1Cu2O7,80.0
Hg0.8W0.2Ba2Ca1Cu2O6.4,118.0
Al1Sr2Ho0.5Ca0.5Cu2O7.05,18.0
Mg1B1.826C0.174,30.8
Cu0.85Re0.15Sr2Y1Cu2O7.3,69.0
Y1Ba2Cu2.925Co0.075O6.97,92.0
K0.75Ca0.25Bi1O3,8.7
Cr1,1.55
Y0.85K0.15Ba2Cu3O6.48,90.15
Re0.7W0.3,4.9
Nd1Fe1As0.6P0.4F0.1O0.9,28.0
Er1Ba2Cu2.82Fe0.18O6.97,72.0
Sm1.27Ba1.73Cu3O7.05,50.05
Ta0.685Ti0.315,8.28
Nb2Pd1S3Se2,1.17
Mo6Se7.5Te0.5,6.69
Cu0.03Ir1Te2,2.53
Nb1N1.08O0.27,12.8
Sr0.8Fe2Se2,38.0
Ca0.3Ba1.45La1.25Cu3O7,28.3
Ca0.85Eu0.15Fe1As2,12.2
V2.802Ta0.198Ga1,12.3
La1Fe1As0.7P0.3F0.05O0.95,15.75
Nb3Al0.983Ga0.017,18.8
Hg1Ba2Cu1O4.22,97.0
Y0.98Ca0.02Ba2Cu4O8,87.0
Ti0.6V0.4,7.15
Bi8Sr8Ca4Cu9O34.25,73.5
Y1Ba2Cu3.96Mn0.04O8,62.8
Ce1Bi3.7Pb0.3Te6,2.9
Nd0.4Ce0.83Co1In5,0.74
Nb3Sn0.8Ga0.2,17.4
Ba1.6Sr0.4Yb0.8Ca0.2Cu3O6.04,13.0
Y0.6Pr0.4Ba2Cu3O6.88,47.0
La1Ba1.5Ca0.5Cu3O6.96,79.9
Y0.9Ca0.1Ba1.9La0.1Cu3O6.96,82.0
Ca0.3Ba1.45La1.25Cu3O7.11,65.3
Lu0.5Y0.5Ni2B2C1,14.9
V0.5Sr2.3Ca4.7Cu6.5O15.5,75.0
Y0.9Pr0.1Ba2Cu3O6.96,83.0
La1.97Sr0.03Cu1O4.06,39.0
Gd0.02Pr1.83Ce0.15Cu1O4,18.5
V2Hf0.84Nb0.16,10.67
Sc0.75Th0.25Rh4B4,8.74
Nb0.984Ta0.016,8.76
Pd0.1Ti0.9,4.335
Al0.95Be0.05Nb3,19.6
Nb0.18Re0.82,9.116666667
Ce0.95Nd0.05Co1In5,1.95
La1.85Sr0.15Cu0.995Fe0.005O4,30.82
K0.77Zr1N1Cl1,13.5
Sr1Ga0.8Si1.2,4.24
Nb0.85V0.15,6.0
In3Lu1,0.24
Ir0.82Mo0.18,0.5
Y1Sr0.4Ba1.6Cu2.5B0.5O7,35.0
Nb1Sn2,2.64
Y1Sr2Cu2.65Fe0.35O7.1,46.0
Y1Ba1.7Rb0.3Cu3O6.52,91.05
Ba0.6K0.4Bi0.7Pb0.3O3,11.3
Ga5V2,3.57
La1Ir2Zn20,0.59
Au1Tl1,1.92
Sn0.91Zn0.09,3.722
Nb3Ga0.2Bi0.2Sn0.6,18.06
Be35Zr65,2.6
Ti0.516V0.484,7.2
Ba6.63Si46,6.0
Fe1Cr0.01Se1,10.8
Hg0.333In0.667,4.115
Y0.74Ca0.16Sr0.6Ba1.5Cu2.78S0.22O7,77.9
La1Ba1Ca1Cu3O6.99,75.0
Nd0.8Th0.2Fe1As1O1,43.0
Nd1.5Ba1.5Cu3O7.12,15.4
In0.02Pb0.98,7.15
Sr2.5Ca11.5Cu24O41,2.5
Ir0.95Pd0.05Te2,2.5
Nb0.1Hf0.9N1,5.47
La1.885Ca0.115Cu1O4,23.0
Nb0.45Re0.55,6.2
Er1Ni2B2C1,9.465833333
Cu1Co1.99Rh0.01S4,2.61
Gd0.9Pr0.1Ba2Cu3O6.95,74.3
Se2Ta1,0.1075
Tl0.8V0.2Sr4Cu2C1O10,50.0
Pr1Fe1As0.8P0.2F0.1O0.9,29.2
La1.77Sr0.23Cu0.99Ni0.01O4,18.0
Sr2Y1Cu3O7.75,67.0
C0.9N0.1Sr2Cu1O5.35,13.0
La1.59Na0.41Cu1O4,18.0
Eu1Ba2Cu3O6.82,94.0
Mo6S7Sn1,13.0
Y1Ba1.8La0.2Cu3O6.85,51.4
Al0.72Nb3.28,6.2
Pd7Se2,0.53
Sc1C0.75Ge0.02,8.5
Er0.6Ca0.25Hf0.15Ba2Cu3O7.02,84.7
Dy1Ba2Cu2.8Ni0.2O6.83,63.0
La0.95Y0.05Fe0.995Mn0.005As1F0.11O0.89,18.6
Bi2Sr2Ca0.7Gd0.3Cu2O8,48.0
La1.03Pr0.85Sr0.12Cu1O4,18.0
Sm0.8Pr0.2Ba2Cu3O6.95,39.65
Nb2.9925Zr0.0075Al1,17.6
Fe1Se0.328Te0.492,13.8
Na0.33Ta1S2,4.7
Nb0.14Re0.86,8.5
Rb0.8Fe2Se2,31.4
La1.8Sr0.2Cu0.96Zn0.04O4,2.3
Ce1Fe1As0.7P0.3O1,4.0
Fe0.98Se0.25Te0.75,6.5
C0.5Sr2.01Ca0.44Y0.55Cu2.44O6.94,45.5
Hf0.6V2Zr0.4,9.9
Nd1Fe1As1F0.175O0.825,53.0
Ru0.95Co0.05Sr2Gd1CuO8,5.5
Tl1Sr1.5La0.5Ca1Cu2O7,90.0
Lu1Ni1.991Co0.018B2C1,15.6
Nb3Rh0.9Pt0.1,2.8
Er1Ba2Cu3O6.935,88.0
Sm1.75Gd0.1Ce0.15Cu1O3.97,21.4
Re1Y1Os1,2.0
Nb2.55V0.45Sn1,15.0
Dy1Ba2Cu2.6Ni0.4O6.83,31.0
Y1Ba2Cu3O6.702,69.0
La1Ba1Ca1Cu2.6Ni0.4O6.854,24.0
Nd0.8Sm0.2F0.3Bi1S2O0.5,5.2
